LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1130.857647,1130.857628,1661327449.144424,70870.000,9662,1,T1,1,100,35.251
1130.993930,1130.993910,1661327449.280706,71002.000,9679,1,T1,1,100,35.250
1131.128147,1131.128128,1661327449.414923,71132.000,9698,1,T1,1,100,35.250
1131.260299,1131.260280,1661327449.547076,71260.000,9729,1,T1,1,100,35.250
1131.393484,1131.393465,1661327449.680260,71389.000,9747,1,T1,1,100,35.215
1131.526669,1131.526649,1661327449.813445,71518.000,9765,1,T1,1,100,35.199
1131.662951,1131.662932,1661327449.949727,71650.000,9782,1,T1,1,100,35.193
1131.795103,1131.795084,1661327450.081880,71778.000,9803,1,T1,1,100,35.296
1131.928288,1131.928269,1661327450.215065,71907.000,9821,1,T1,1,100,35.234
1132.061473,1132.061453,1661327450.348249,72036.000,9855,1,T1,1,100,35.208
1132.194657,1132.194638,1661327450.481434,72165.000,9875,1,T1,1,100,35.161
1132.329907,1132.329888,1661327450.616684,72296.000,9891,1,T1,1,100,35.282
1132.462059,1132.462040,1661327450.748836,72424.000,9913,1,T1,1,100,35.299
1132.595244,1132.595225,1661327450.882021,72553.000,9946,1,T1,1,100,35.236
1132.727397,1132.727377,1661327451.014173,72681.000,9963,1,T1,1,100,35.173
1132.860581,1132.860562,1661327451.147358,72810.000,9980,1,T1,1,100,35.181
1132.994799,1132.994779,1661327451.281575,72940.000,9996,1,T1,1,100,35.220
1133.127983,1133.127964,1661327451.414760,73069.000,10014,1,T1,1,100,35.273
1133.261168,1133.261149,1661327451.547945,73198.000,10049,1,T1,1,100,35.295
1133.394353,1133.394334,1661327451.681130,73327.000,10066,1,T1,1,100,35.163
1133.526505,1133.526486,1661327451.813282,73455.000,10085,1,T1,1,100,35.142
1133.657625,1133.657606,1661327451.944402,73582.000,10119,1,T1,1,100,35.274
1133.790810,1133.790791,1661327452.077587,73711.000,10138,1,T1,1,100,35.260
1133.926059,1133.926040,1661327452.212837,73842.000,10155,1,T1,1,100,35.361
1134.059244,1134.059225,1661327452.346021,73971.000,10172,1,T1,1,100,35.298
1134.191397,1134.191377,1661327452.478174,74099.000,10207,1,T1,1,100,35.200
1134.323549,1134.323530,1661327452.610326,74227.000,10224,1,T1,1,100,35.122
1134.457766,1134.457747,1661327452.744543,74357.000,10243,1,T1,1,100,35.195
1134.594048,1134.594029,1661327452.880825,74489.000,10274,1,T1,1,100,35.226
1134.726201,1134.726181,1661327453.012978,74617.000,10292,1,T1,1,100,35.169
1134.858353,1134.858334,1661327453.145130,74745.000,10308,1,T1,1,100,35.215
1134.991538,1134.991519,1661327453.278315,74874.000,10325,1,T1,1,100,35.235
1135.125755,1135.125736,1661327453.412532,75004.000,10359,1,T1,1,100,35.243
1135.259972,1135.259953,1661327453.546749,75134.000,10378,1,T1,1,100,35.318
1135.394189,1135.394170,1661327453.680967,75264.000,10396,1,T1,1,100,35.209
1135.524277,1135.524258,1661327453.811054,75390.000,10412,1,T1,1,100,35.303
1135.657462,1135.657442,1661327453.944239,75519.000,10448,1,T1,1,100,35.308
1135.793744,1135.793724,1661327454.080521,75651.000,10465,1,T1,1,100,35.275
1135.926928,1135.926909,1661327454.213706,75780.000,10483,1,T1,1,100,35.332
1136.059081,1136.059062,1661327454.345858,75908.000,10517,1,T1,1,100,35.321
1136.191233,1136.191214,1661327454.478010,76036.000,10534,1,T1,1,100,35.210
1136.325450,1136.325431,1661327454.612228,76166.000,10550,1,T1,1,100,35.233
1136.458635,1136.458616,1661327454.745413,76295.000,10568,1,T1,1,100,35.242
1136.591820,1136.591801,1661327454.878597,76424.000,10599,1,T1,1,100,35.282
1136.725005,1136.724985,1661327455.011782,76553.000,10620,1,T1,1,100,35.264
1136.860254,1136.860235,1661327455.147032,76684.000,10640,1,T1,1,100,35.291
1136.992407,1136.992387,1661327455.279184,76812.000,10681,1,T1,1,100,35.232
1137.125591,1137.125572,1661327455.412369,76941.000,10699,1,T1,1,100,35.242
1137.258776,1137.258757,1661327455.545554,77070.000,10716,1,T1,1,100,35.247
1137.390928,1137.390909,1661327455.677706,77198.000,10733,1,T1,1,100,35.213
1137.526178,1137.526159,1661327455.812956,77329.000,10766,1,T1,1,100,35.163
1137.660395,1137.660376,1661327455.947173,77459.000,10783,1,T1,1,100,35.283
1137.792548,1137.792529,1661327456.079325,77587.000,10800,1,T1,1,100,35.229
1137.925732,1137.925713,1661327456.212510,77716.000,10817,1,T1,1,100,35.241
1138.059950,1138.059931,1661327456.346727,77846.000,10853,1,T1,1,100,35.246
1138.194167,1138.194148,1661327456.480945,77976.000,10869,1,T1,1,100,35.248
1138.327352,1138.327333,1661327456.614130,78105.000,10891,1,T1,1,100,35.178
1138.459504,1138.459485,1661327456.746282,78233.000,10908,1,T1,1,100,35.219
1138.591656,1138.591637,1661327456.878434,78361.000,10941,1,T1,1,100,35.272
1138.725874,1138.725854,1661327457.012651,78491.000,10959,1,T1,1,100,35.330
1138.858026,1138.858007,1661327457.144804,78619.000,10975,1,T1,1,100,35.356
1138.990178,1138.990159,1661327457.276956,78747.000,11007,1,T1,1,100,35.296
1139.126460,1139.126441,1661327457.413238,78879.000,11028,1,T1,1,100,35.199
1139.259645,1139.259626,1661327457.546423,79008.000,11044,1,T1,1,100,35.228
1139.391797,1139.391778,1661327457.678576,79136.000,11064,1,T1,1,100,35.276
