LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1105.895311,1105.895291,1661327424.182082,46692.000,5549,3,GX,1,100,-0.305
1105.935576,1105.935556,1661327424.222347,46731.000,5549,3,GX,1,100,-0.763
1105.975841,1105.975821,1661327424.262613,46770.000,5549,3,GX,1,100,-1.038
1106.015418,1106.015398,1661327424.302190,46808.333,5563,3,GX,1,100,-0.946
1106.054995,1106.054975,1661327424.341766,46846.667,5563,3,GX,1,100,-0.763
1106.094572,1106.094552,1661327424.381343,46885.000,5563,3,GX,1,100,-0.854
1106.133288,1106.133268,1661327424.420060,46922.500,5588,2,GX,1,100,-0.397
1106.172005,1106.171985,1661327424.458776,46960.000,5588,2,GX,1,100,0.092
1106.211926,1106.211906,1661327424.498697,46998.667,5604,3,GX,1,100,0.244
1106.251847,1106.251827,1661327424.538618,47037.333,5604,3,GX,1,100,-0.305
1106.291768,1106.291748,1661327424.578539,47076.000,5604,3,GX,1,100,0.031
1106.331689,1106.331669,1661327424.618460,47114.667,5621,3,GX,1,100,0.244
1106.371610,1106.371590,1661327424.658381,47153.333,5621,3,GX,1,100,0.519
1106.411531,1106.411511,1661327424.698303,47192.000,5621,3,GX,1,100,0.671
1106.451796,1106.451776,1661327424.738568,47231.000,5638,2,GX,1,100,0.702
1106.492061,1106.492041,1661327424.778833,47270.000,5638,2,GX,1,100,1.465
1106.531982,1106.531962,1661327424.818754,47308.667,5653,3,GX,1,100,2.075
1106.571903,1106.571883,1661327424.858675,47347.333,5653,3,GX,1,100,2.411
1106.611824,1106.611804,1661327424.898596,47386.000,5653,3,GX,1,100,2.319
1106.651573,1106.651553,1661327424.938345,47424.500,5669,2,GX,1,100,1.923
1106.691322,1106.691302,1661327424.978094,47463.000,5669,2,GX,1,100,1.038
1106.730555,1106.730535,1661327425.017327,47501.000,5687,3,GX,1,100,1.678
